421.03,1.9344,35.007,90.501,4.3938,2.2801,13.839,2.2954,1.7533,2.2613,155.01,0,74.054,21.025,2.3963,6.9686,2.2721,1.7352,46.828,6.435,411.85,0,0,0.008722,0
65.929,2.157,0,3.9765,0,0.38165,9.22,0,0,10.297,0.064547,13.562,0,0,0,1.9402,0,0,5.262,3.8544,0,0.77959,1.4512,0.46368,172.73
912.31,0,62.168,115.27,9.0586,0.078045,6.3773,5.2159,0,6.1362,168.83,6.7301,113.9,42.488,0.04026,0,6.3368,0,59.97,10.034,559.73,1.8069,0,0.031143,0
402.48,0.7425,23.128,145.31,10.748,0,3.1737,1.9871,0.24826,0.23236,166.08,1.4769,104.24,18.413,3.6868,2.6674,0.35008,1.0024,87.508,17.898,806.78,0,0,0.70865,0
827.8,4.8738,10.639,3.4534,510.89,1.9136,4.4093,1.7469,0.38892,0,106.78,1.5796,0.51936,7.1894,6.9367,21.999,234.28,0.38603,44.774,103.52,599.01,0.34056,3.7769,0.006292,1.5674
1100.4,0,0,9.561,175.15,2.9077,21.919,3.4384,2.5086,5.0348,0,7.6929,0,3.2517,1.1104,11.704,0.30983,0.71692,125.39,181.25,0,2.0435,0.25569,2.4858,22.32
455.97,1.0561,103.51,82.721,3.364,6.0343,43.394,35.456,0.73834,60.041,71.756,1.1158,43.176,25.953,6.1698,7.9778,274.33,0.93221,425.61,7.5877,395.11,0,0.68684,0,1.7331
553.15,0,41.024,5.5693,351.35,1.9398,5.4296,4.2763,0,0,261.23,4.3885,184.07,48.932,3.4856,11.642,0,0.59532,126.19,34.508,828.8,0,0,0.5266,0.023695
428.24,4.6762,12.381,8.7633,244.76,0,4.0317,0.002774,0.84476,1.9528,168.31,0,31.259,15.032,0,9.2377,0,3.8048,82.248,16.793,489.8,0,3.5,0,8.8706
1014.2,69.588,66.589,134.05,22.851,46.174,11.879,0,0.23911,5.6793,324.31,16.629,221.63,48.38,6.8263,1.9691,0,2.5473,111.46,80.337,1632.9,5.9079,10.504,2.4868,2.4791
219.47,1.3443,3.9631,4.0214,11.843,4.5782,4.707,3.4296,0,5.8849,2.3161,0,10.286,3.7479,3.226,8.5259,0,1.3226,116.83,26.084,4.8542,0,1.5863,0,55.683
583.11,0,47.927,4.3176,463.3,2.8551,9.0645,1.2197,0,0.31561,233.07,5.4964,48.594,11.214,2.5067,7.3571,1.1853,3.2655,65.443,35.914,526.87,0,9.6356,0.89733,0
494.92,4.2258,16.164,82.741,10.217,0,2.3653,3.6411,1.4561,0.26433,167,5.0884,111.93,93.304,5.304,1.1901,0,0.87716,92.546,24.018,569.84,0,0,0,0.31785
