103.94,0.79491,0,8.2793,8.1881,6.1035,25.742,0,3.3379,17.695,2.0121,16.301,4.0215,0,3.9402,34.556,12.042,4.9595,214.28,99.935,0.99349,1.0764,15.122,1.4617,31.747
271.13,0,0,19.964,0.053456,0,16.243,0.93987,0,4.0024,2.75,51.081,0,2.0383,0.32257,7.1489,26.811,2.685,87.864,65.54,5.6003,8.237,31.608,1.7317,188.72
23.129,2.0761,0,0,0,0,0.38868,0,0,0,0.48446,0,0,0,0,0,0.74716,0,0,0,0.25111,0,1.0319,0,24.545
377.14,0.86666,1.6024,8.7869,5.2145,1.9011,38.181,1.8621,1.0735,4.7069,0,134.89,2.3485,0,5.3156,2.8111,27.76,2.3761,105.47,28.85,4.5878,7.1583,18.357,0,203.24
1256,1.2733,7.0641,5.2075,194.1,0.74563,62.414,11.142,4.4566,1346.3,6.5745,14.053,5.2579,10.686,2.4608,221.2,13.563,156.87,715.95,664.76,36.34,0,2.0488,0,161.23
43.291,0,5.6464,23.288,6.142,0,17.113,0.91329,0,39.129,1.3574,29.477,2.0179,0.95493,2.9357,0.094125,3.0646,2.8479,16.797,13.57,0,3.6192,15.653,3.1645,61.231
54.196,2.7018,4.9952,10.998,0,2.9172,36.377,0,0.53107,5.0678,3.6009,32.071,2.1291,0.93989,1.647,4.1089,17.812,0.12578,28.938,14.059,6.9322,0.75631,5.8477,0,123.25
175.33,3.9804,0,1.8848,5.5783,0,10.249,0.08165,0,2.7935,0.074776,0,5.2267,1.991,3.6168,0,52.92,3.2822,51.043,14.633,7.5308,0,14.657,0.95671,136.79
41.299,0.15965,2.0038,15.881,2.7235,1.6868,20.171,0,0.06588,7.2458,0.40532,5.4632,0.22091,0.4177,2.2049,7.1603,5.2809,0.92771,30.069,0.55587,0,0,4.6448,0,133.97
394.9,2.1213,11.222,0,192.58,0,6.8085,0,0.58441,2.8792,148.39,2.2853,38.324,11.659,0.31862,6.4921,0,0,69.979,20.897,563.88,0,0.39943,0,8.9585
40.502,1.8512,0,0,3.0139,1.5657,12.763,0,0.78519,6.0573,4.8221,18.683,0,3.513,0.46612,1.6176,2.6863,0,63.605,29.704,0,3.5448,1.9937,0.54967,9.2571
273.7,2.6568,0,21.571,11.105,3.5945,29.876,3.927,3.846,13.936,4.0681,39.151,2.8589,3.288,5.8381,19.939,7.0703,4.7692,88.632,67.699,23.516,9.5951,29.688,0,98.558
247.81,2.0669,0,2.5394,0.50441,4.6165,18.871,0.019295,3.1958,3.8346,1.9813,42.743,3.6748,4.403,15.834,12.956,0.15783,4.6403,155.73,72.091,0,2.3702,2.6004,4.7335,12.503
94.163,7.1924,0.66051,49.121,1.3905,10.393,32.774,0,0.43767,13.843,3.7652,58.067,3.7576,4.2322,5.0244,26.321,10.886,3.1702,44.639,34.77,2.8605,9.4076,22.929,6.9575,142.58
87.509,3.9205,0,15.109,24.676,2.3618,23.952,1.1464,0,23.129,2.2002,36.012,5.7861,0.10847,0.67806,3.3868,0,2.1162,20.62,30.342,0,3.3303,4.3279,0,451.69
471.07,5.2605,3.6869,33.483,1.7042,3.414,10.027,0,0.43904,0.63284,4.7593,16.064,12.277,0,8.2294,8.1141,14.094,0.56964,80.173,361.3,20.935,4.4643,28.395,0.36916,37.597
216.53,15.139,4.021,5.7787,0,34.987,4.3392,0,2.0708,12.669,14.344,58.226,0,3.2364,0,0.82823,52.47,0,44.13,25.036,8.9709,13.915,9.8421,0,203.38
217.83,1.5192,4.161,1.7516,0,5.9016,16.191,1.2747,0,0,1.7761,153.08,5.7789,5.885,0,4.1728,36.655,1.5088,23.994,18.687,2.7967,6.3845,5.433,0,204.57
